team_number,round,price,advertising,sales_force,quality_investment,market_research,production_volume,capacity_expansion,employees_hire,employees_fire,wage_level,training_investment,short_term_borrow,long_term_borrow,short_term_repay,long_term_repay,dividend_payout
1,1,100,50000,30000,20000,10000,8000,5000,5,0,2500,15000,0,0,0,0,10000
1,2,105,55000,32000,22000,12000,8500,6000,3,0,2600,16000,0,0,0,0,12000
1,3,110,60000,35000,25000,15000,9000,7000,2,0,2700,18000,0,0,0,0,14000
1,4,115,65000,38000,28000,18000,9500,8000,1,0,2800,20000,0,0,0,0,16000
1,5,120,70000,40000,30000,20000,10000,9000,0,0,2900,22000,0,0,0,0,18000
1,6,125,75000,42000,32000,22000,10500,10000,0,0,3000,24000,0,0,0,0,20000
1,7,130,80000,45000,35000,25000,11000,11000,0,0,3100,26000,0,0,0,0,22000
1,8,135,85000,48000,38000,28000,11500,12000,0,0,3200,28000,0,0,0,0,25000
2,1,98,48000,28000,18000,9000,7800,4800,5,0,2450,14000,0,0,0,0,9000
2,2,103,52000,30000,20000,11000,8200,5800,3,0,2550,15500,0,0,0,0,11000
2,3,108,57000,33000,23000,14000,8700,6800,2,0,2650,17000,0,0,0,0,13000
2,4,113,62000,36000,26000,17000,9200,7800,1,0,2750,19000,0,0,0,0,15000
2,5,118,68000,39000,29000,19000,9800,8800,0,0,2850,21000,0,0,0,0,17000
2,6,123,73000,41000,31000,21000,10300,9800,0,0,2950,23000,0,0,0,0,19000
2,7,128,78000,43000,34000,24000,10800,10800,0,0,3050,25000,0,0,0,0,21000
2,8,132,83000,46000,37000,27000,11300,11800,0,0,3150,27000,0,0,0,0,24000
3,1,102,52000,32000,22000,12000,8200,5200,5,0,2550,16000,0,0,0,0,11000
3,2,107,56000,34000,24000,13000,8600,6200,3,0,2650,17500,0,0,0,0,13000
3,3,112,61000,37000,27000,16000,9100,7200,2,0,2750,19000,0,0,0,0,15000
3,4,117,66000,40000,30000,19000,9600,8200,1,0,2850,21000,0,0,0,0,17000
3,5,122,72000,43000,33000,22000,10200,9200,0,0,2950,23000,0,0,0,0,19000
3,6,127,77000,45000,35000,24000,10700,10200,0,0,3050,25000,0,0,0,0,21000
3,7,132,82000,48000,38000,27000,11200,11200,0,0,3150,27000,0,0,0,0,23000
3,8,137,87000,51000,41000,30000,11700,12200,0,0,3250,29000,0,0,0,0,26000
4,1,96,46000,26000,16000,8000,7600,4600,5,0,2400,13000,0,0,0,0,8000
4,2,101,50000,28000,18000,10000,8000,5600,3,0,2500,14500,0,0,0,0,10000
4,3,106,55000,31000,21000,13000,8500,6600,2,0,2600,16000,0,0,0,0,12000
4,4,111,60000,34000,24000,16000,9000,7600,1,0,2700,18000,0,0,0,0,14000
4,5,116,66000,37000,27000,18000,9600,8600,0,0,2800,20000,0,0,0,0,16000
4,6,121,71000,39000,29000,20000,10100,9600,0,0,2900,22000,0,0,0,0,18000
4,7,126,76000,42000,32000,23000,10600,10600,0,0,3000,24000,0,0,0,0,20000
4,8,131,81000,45000,35000,26000,11100,11600,0,0,3100,26000,0,0,0,0,23000
